question,main_answer,sub_answer,level,examples,part_of_speech,kanji_string,meaning_string,reading_string,meaning_mnemonic
そこ,There,,9,"そこで先生に会ったよ。 
 I met my teacher there. 

 おやつなら、そこにあるよ。 
 If you're looking for snacks, they're there. 

 そこまで言わなくてもいいじゃない！ 
 You don't have to say so much!","noun, pronoun, こそあど word",,,,"Remember how words beginning with そ are either close to the person you're talking to, or fairly close to both of you? And how words ending in こ refer to places? This one's no exception. そこ means there."
There,,そこ,9,"そこで先生に会ったよ。 
 I met my teacher there. 

 おやつなら、そこにあるよ。 
 If you're looking for snacks, they're there. 

 そこまで言わなくてもいいじゃない！ 
 You don't have to say so much!","noun, pronoun, こそあど word",,,,"Remember how words beginning with そ are either close to the person you're talking to, or fairly close to both of you? And how words ending in こ refer to places? This one's no exception. そこ means there."
あそこ,Over There,,9,"私のうちは、あそこだよ。 
 My house is over there. 

 あそこでちょっと休もう！ 
 Let's take a short rest over there! 

 あそこにあるのは何？ 
 What's that thing over there?","noun, pronoun, こそあど word",,,,"Remember how words beginning with あ show that whatever you're talking about is far away from both you and the person you're talking to? And how words ending in こ refer to places? So what do you think this means? That right, it's over there.

Note that even though あそこ means ""over there,"" it's still used to refer to a specific, concrete place, as opposed to a word like 向こう which means ""over there"" in a broader, more general sense."
Over There,,あそこ,9,"私のうちは、あそこだよ。 
 My house is over there. 

 あそこでちょっと休もう！ 
 Let's take a short rest over there! 

 あそこにあるのは何？ 
 What's that thing over there?","noun, pronoun, こそあど word",,,,"Remember how words beginning with あ show that whatever you're talking about is far away from both you and the person you're talking to? And how words ending in こ refer to places? So what do you think this means? That right, it's over there.

Note that even though あそこ means ""over there,"" it's still used to refer to a specific, concrete place, as opposed to a word like 向こう which means ""over there"" in a broader, more general sense."
キロ,"Kilo, Kilogram, Kilometer, Kilowatt",,9,"一ヶ月で五キロやせました。 
 I lost five kilos in one month. 

 うちから学校まで、大体３キロです。 
 It is roughly 3 km from our house to the school. 

 この石は、キロ当たり１円にしかなりません。 
 This stone sells for only one yen per kilo.","noun, suffix",,,,"キロ comes from kilo, and it can mean kilogram, kilometer, or any unit that starts with ""kilo"" in English.

You can also use abbreviations like ""kg"" and ""km"" in Japanese, and they're often just pronounced キロ too."
"Kilo, Kilogram, Kilometer, Kilowatt",,キロ,9,"一ヶ月で五キロやせました。 
 I lost five kilos in one month. 

 うちから学校まで、大体３キロです。 
 It is roughly 3 km from our house to the school. 

 この石は、キロ当たり１円にしかなりません。 
 This stone sells for only one yen per kilo.","noun, suffix",,,,"キロ comes from kilo, and it can mean kilogram, kilometer, or any unit that starts with ""kilo"" in English.

You can also use abbreviations like ""kg"" and ""km"" in Japanese, and they're often just pronounced キロ too."
売る,To Sell Something,うる,9,"道に絵を売る人がいました。 
 There was a person selling pictures on the street. 

 このバイク、いくらだったら売ってくれますか？ 
 How much would you sell this motorcycle for? 

 私の心はお金じゃ売らないよ。 
 I won't sell my heart for money.","transitive verb, godan verb",売,Sell,"ばい, う","This word consists of kanji with hiragana attached. Because the hiragana ends with an う sound, you know this word is a verb. The kanji itself means sell, and this is a transitive verb meaning to sell something."
To Sell Something,うる,売る,9,"道に絵を売る人がいました。 
 There was a person selling pictures on the street. 

 このバイク、いくらだったら売ってくれますか？ 
 How much would you sell this motorcycle for? 

 私の心はお金じゃ売らないよ。 
 I won't sell my heart for money.","transitive verb, godan verb",売,Sell,"ばい, う","This word consists of kanji with hiragana attached. Because the hiragana ends with an う sound, you know this word is a verb. The kanji itself means sell, and this is a transitive verb meaning to sell something."
ハート形,Heart Shaped,"はーとがた, ハートがた",9,"ハート形の風船を買いました。 
 I bought a heart-shaped balloon. 

 これは、ネイルアート用のハート形のストーンです。 
 This is a heart-shaped stone for nail art. 

 うちのおばあちゃんは、ハート形のおにぎりを作るのが上手です。 
 My grandmother is good at making heart-shaped rice balls.",noun,形,"Shape, Form, Appearance","けい, ぎょう, かた, かたち","ハート is of course ""heart"" and you know that 形 means shape. You've probably already figured this one out. It's heart shaped. 

You can add this kanji to all sorts of other things too to say ""____ shaped."" Give it a try!"
Heart Shaped,"はーとがた, ハートがた",ハート形,9,"ハート形の風船を買いました。 
 I bought a heart-shaped balloon. 

 これは、ネイルアート用のハート形のストーンです。 
 This is a heart-shaped stone for nail art. 

 うちのおばあちゃんは、ハート形のおにぎりを作るのが上手です。 
 My grandmother is good at making heart-shaped rice balls.",noun,形,"Shape, Form, Appearance","けい, ぎょう, かた, かたち","ハート is of course ""heart"" and you know that 形 means shape. You've probably already figured this one out. It's heart shaped. 

You can add this kanji to all sorts of other things too to say ""____ shaped."" Give it a try!"
目次,Table Of Contents,もくじ,9,"先ず、本の目次を見て下さい。 
 First, please look at the table of contents of the book. 

 目次を見るだけでも、本の中について少し分かりますよ。 
 Even just looking at the table of contents tells you a little about the book. 

 次は、目次のページです。 
 Next is a page for the table of contents.",noun,目|次,Eye|Next,"め, もく|じ, し, つぎ, つ",Your eye is on what's next. How is this possible to see what's coming up? That's because you're looking at a table of contents.
Table Of Contents,もくじ,目次,9,"先ず、本の目次を見て下さい。 
 First, please look at the table of contents of the book. 

 目次を見るだけでも、本の中について少し分かりますよ。 
 Even just looking at the table of contents tells you a little about the book. 

 次は、目次のページです。 
 Next is a page for the table of contents.",noun,目|次,Eye|Next,"め, もく|じ, し, つぎ, つ",Your eye is on what's next. How is this possible to see what's coming up? That's because you're looking at a table of contents.
星,Star,ほし,9,"夜には、星がとてもきれいでした。 
 That night the stars were really pretty. 

 青森には美しい星空が広がっています。 
 A beautiful starry sky stretches over Aomori. 

 フルーツをハート形や星形に切るとかわいいし、小さい子にも人気ですよ。 
 Fruits cut into heart and star shapes are cute, and popular with children.",noun,星,Star,"せい, ほし",The kanji and the word are exactly the same. That means they share meanings as well.
Star,ほし,星,9,"夜には、星がとてもきれいでした。 
 That night the stars were really pretty. 

 青森には美しい星空が広がっています。 
 A beautiful starry sky stretches over Aomori. 

 フルーツをハート形や星形に切るとかわいいし、小さい子にも人気ですよ。 
 Fruits cut into heart and star shapes are cute, and popular with children.",noun,星,Star,"せい, ほし",The kanji and the word are exactly the same. That means they share meanings as well.
海,"Ocean, Sea",うみ,9,"その海の色はエメラルドグリーンでした。 
 The color of the sea was emerald green. 

 夏休みに友人たちと海に行く予定です。 
 I plan to go to the sea with my friends during the summer vacation. 

 いつか、海の近くに住みたいなぁ。 
 Someday, I want to live near the sea. 

 ワニカニは海の生物なのでしょうか？川の生物なのでしょうか？ 
 Is WaniKani a sea creature? Is it a river creature?",noun,海,"Sea, Ocean","かい, うみ",The kanji and the word are exactly the same. That means they share meanings as well.
"Ocean, Sea",うみ,海,9,"その海の色はエメラルドグリーンでした。 
 The color of the sea was emerald green. 

 夏休みに友人たちと海に行く予定です。 
 I plan to go to the sea with my friends during the summer vacation. 

 いつか、海の近くに住みたいなぁ。 
 Someday, I want to live near the sea. 

 ワニカニは海の生物なのでしょうか？川の生物なのでしょうか？ 
 Is WaniKani a sea creature? Is it a river creature?",noun,海,"Sea, Ocean","かい, うみ",The kanji and the word are exactly the same. That means they share meanings as well.
海魚,"Ocean Fish, Saltwater Fish",うみざかな,9,"サケは海魚ですか？それとも川魚ですか？ 
 Is salmon a saltwater fish? Or is it a freshwater fish? 

 海魚はペットに出来ますか？ 
 Can sea fish be pets? 

 スキューバダイビングで海の中に行くと、色々な海魚やクラゲを見ることができます。 
 If you go into the sea by scuba diving, you can see various sea fish and jellyfish.",noun,海|魚,"Sea, Ocean|Fish","かい, うみ|ぎょ, さかな, うお","An ocean fish is simply an ocean fish. They also happen to be the most delicious kind of fish.

海魚 is often used in contrast with 川魚 (river fish), especially when talking about fish as food."
"Ocean Fish, Saltwater Fish",うみざかな,海魚,9,"サケは海魚ですか？それとも川魚ですか？ 
 Is salmon a saltwater fish? Or is it a freshwater fish? 

 海魚はペットに出来ますか？ 
 Can sea fish be pets? 

 スキューバダイビングで海の中に行くと、色々な海魚やクラゲを見ることができます。 
 If you go into the sea by scuba diving, you can see various sea fish and jellyfish.",noun,海|魚,"Sea, Ocean|Fish","かい, うみ|ぎょ, さかな, うお","An ocean fish is simply an ocean fish. They also happen to be the most delicious kind of fish.

海魚 is often used in contrast with 川魚 (river fish), especially when talking about fish as food."
住民,"Residents, Citizens",じゅうみん,9,"この町の住民は、おばあちゃんとおじいちゃんが多いです。 
 Many residents in this town are grandmas and grandpas. 

 アパートの住民たちで、ピザパーティをしたいんです。 
 I want to have a pizza party with the residents of the apartment. 

 ２０１１年のつなみでは多くの住民が家を失いました。 
 Many residents lost their homes in the 2011 tsunami.",noun,住|民,"Dwell, Reside, Dwelling|Peoples, People, Nation","じゅう, す|みん, たみ","They dwell here, these people. So what are they? They’re residents."
"Residents, Citizens",じゅうみん,住民,9,"この町の住民は、おばあちゃんとおじいちゃんが多いです。 
 Many residents in this town are grandmas and grandpas. 

 アパートの住民たちで、ピザパーティをしたいんです。 
 I want to have a pizza party with the residents of the apartment. 

 ２０１１年のつなみでは多くの住民が家を失いました。 
 Many residents lost their homes in the 2011 tsunami.",noun,住|民,"Dwell, Reside, Dwelling|Peoples, People, Nation","じゅう, す|みん, たみ","They dwell here, these people. So what are they? They’re residents."
研究室,"Laboratory, Lab Room",けんきゅうしつ,9,"この研究室には毎回たくさんの学生がいます。 
 There are many students in this lab every time. 

 明日、研究室で新しい化学実験を行う予定です。 
 We plan to conduct a new chemical experiment in the laboratory tomorrow. 

 このハムスターは研究室で生まれました。 
 This hamster was born in the lab.",noun,研|究|室,Sharpen|Research|Room,"けん, と|きゅう, きわ|しつ","Remember how 研究 means ""research""? Well the room where you do research is a laboratory!

研究室 refers to a lab room, often within a larger institution like a university or college."
"Laboratory, Lab Room",けんきゅうしつ,研究室,9,"この研究室には毎回たくさんの学生がいます。 
 There are many students in this lab every time. 

 明日、研究室で新しい化学実験を行う予定です。 
 We plan to conduct a new chemical experiment in the laboratory tomorrow. 

 このハムスターは研究室で生まれました。 
 This hamster was born in the lab.",noun,研|究|室,Sharpen|Research|Room,"けん, と|きゅう, きわ|しつ","Remember how 研究 means ""research""? Well the room where you do research is a laboratory!

研究室 refers to a lab room, often within a larger institution like a university or college."
事,"Thing, Matter, Occurrence",こと,9,"その事については、後でまたゆっくり話しませんか。 
 Shall we talk about the matter later? 

 先生が言ってる事は半分しか分かりませんでした。 
 I only understood half of what the teacher was saying. 

 車で会社に行く事が歩いて行く事よりも多いです。 
 I go to work by car more often than I walk.",noun,事,"Occurrence, Thing, Matter","じ, こと, つか","The kanji and the word are exactly the same. That means they share meanings as well.

As a vocab word on its own, 事 usually refers to an intangible or abstract thing, like いい事 (good thing) or する事 (things to do). 

Depending on the context, it can also mean matter or occurrence, like 大切な事 (important matter) or きのうの事 (what happened yesterday)."
"Thing, Matter, Occurrence",こと,事,9,"その事については、後でまたゆっくり話しませんか。 
 Shall we talk about the matter later? 

 先生が言ってる事は半分しか分かりませんでした。 
 I only understood half of what the teacher was saying. 

 車で会社に行く事が歩いて行く事よりも多いです。 
 I go to work by car more often than I walk.",noun,事,"Occurrence, Thing, Matter","じ, こと, つか","The kanji and the word are exactly the same. That means they share meanings as well.

As a vocab word on its own, 事 usually refers to an intangible or abstract thing, like いい事 (good thing) or する事 (things to do). 

Depending on the context, it can also mean matter or occurrence, like 大切な事 (important matter) or きのうの事 (what happened yesterday)."
用事,"Task, Errand, Things To Do",ようじ,9,"その日、大切な用事があります。 
 On that day, I have important errands. 

 あっ、田中先生。ドン・キホーテに一体何の用事ですか？ 
 Oh, Tanaka-sensei. What business brings you to Don Quijote? 

 すみません。用事を思い出したので、お先に失礼します。 
 Excuse me. I'm sorry to leave early, but I just remembered there's something I have to do.",noun,用|事,"Task, Use|Occurrence, Thing, Matter","よう, もち|じ, こと, つか","If there's a task occurrence, then there's something you have to do, a.k.a. a task or errand.

用事 generally refers to tasks that you personally need to take care of. Often that means errands like buying groceries or paying bills. It could also mean a doctor's appointment, meeting with a friend, or work tasks like attending a meeting and finishing an assignment. It's anything on your list of things to do!"
"Task, Errand, Things To Do",ようじ,用事,9,"その日、大切な用事があります。 
 On that day, I have important errands. 

 あっ、田中先生。ドン・キホーテに一体何の用事ですか？ 
 Oh, Tanaka-sensei. What business brings you to Don Quijote? 

 すみません。用事を思い出したので、お先に失礼します。 
 Excuse me. I'm sorry to leave early, but I just remembered there's something I have to do.",noun,用|事,"Task, Use|Occurrence, Thing, Matter","よう, もち|じ, こと, つか","If there's a task occurrence, then there's something you have to do, a.k.a. a task or errand.

用事 generally refers to tasks that you personally need to take care of. Often that means errands like buying groceries or paying bills. It could also mean a doctor's appointment, meeting with a friend, or work tasks like attending a meeting and finishing an assignment. It's anything on your list of things to do!"
工事,"Construction, Construction Work",こうじ,9,"工事は今日から明日までです。 
 The construction is from today to tomorrow. 

 この道は今工事中なので、左に行って下さい。 
 This road is under construction now, so please take a left. 

 夕べは工事の音がうるさくて、ねむれませんでした。 
 I couldn't sleep because of the noise of the construction last night.","noun, verbal noun",工|事,"Construction, Industry|Occurrence, Thing, Matter","こう, く|じ, こと, つか","Construction occurrences are just different kinds of construction!

工事 often refers to construction work, especially for buildings, roads, and other infrastructure projects. But it can also cover repairs, upgrades, and installations of things like electrical systems, plumbing, phone lines, and internet as well."
"Construction, Construction Work",こうじ,工事,9,"工事は今日から明日までです。 
 The construction is from today to tomorrow. 

 この道は今工事中なので、左に行って下さい。 
 This road is under construction now, so please take a left. 

 夕べは工事の音がうるさくて、ねむれませんでした。 
 I couldn't sleep because of the noise of the construction last night.","noun, verbal noun",工|事,"Construction, Industry|Occurrence, Thing, Matter","こう, く|じ, こと, つか","Construction occurrences are just different kinds of construction!

工事 often refers to construction work, especially for buildings, roads, and other infrastructure projects. But it can also cover repairs, upgrades, and installations of things like electrical systems, plumbing, phone lines, and internet as well."
大事,"Important, Valuable",だいじ,9,"きちんと「ありがとう」と言うことは大事です。 
 It is important to say ""thank you"" properly. 

 大事なノートを失ってしまった。 
 I lost an important notebook. 

 明日は大事なテストがあるんです。 
 I have an important exam tomorrow.","noun, な adjective",大|事,"Big, Large|Occurrence, Thing, Matter","たい, だい, おお, ひろ|じ, こと, つか","You know 事 means ""occurrence,"" but it can also mean ""matter."" And if something is a  big matter to someone, it must be a very important and valuable thing to them.

大事 describes something that holds great importance or value. For example, you can use 大事 to describe something or someone that matters a lot to you. You can also use 大事 to describe a crucial task or moment. And if you want to bring up a serious topic, you may say that you have something 大事 to talk about."
"Important, Valuable",だいじ,大事,9,"きちんと「ありがとう」と言うことは大事です。 
 It is important to say ""thank you"" properly. 

 大事なノートを失ってしまった。 
 I lost an important notebook. 

 明日は大事なテストがあるんです。 
 I have an important exam tomorrow.","noun, な adjective",大|事,"Big, Large|Occurrence, Thing, Matter","たい, だい, おお, ひろ|じ, こと, つか","You know 事 means ""occurrence,"" but it can also mean ""matter."" And if something is a  big matter to someone, it must be a very important and valuable thing to them.

大事 describes something that holds great importance or value. For example, you can use 大事 to describe something or someone that matters a lot to you. You can also use 大事 to describe a crucial task or moment. And if you want to bring up a serious topic, you may say that you have something 大事 to talk about."
返事,"Reply, Response",へんじ,9,"今日は、メールの返事が来なかった。 
 Today, I didn't get a reply to my email. 

 もう少し時間をくれませんか？返事をする前によく考えたいんです。 
 Would you like to give me a little more time? I want to think it over before I respond. 

 プロポーズの返事が一年以上ないんですが、どうしたらいいですか？ 
 There has been no response to my proposal for over a year, what should I do?","noun, verbal noun",返|事,"Return|Occurrence, Thing, Matter","へん, かえ|じ, こと, つか","You know 事 means ""occurrence,"" but it can also mean ""matter."" And if you return the matter to another person, you're giving a reply or response."
"Reply, Response",へんじ,返事,9,"今日は、メールの返事が来なかった。 
 Today, I didn't get a reply to my email. 

 もう少し時間をくれませんか？返事をする前によく考えたいんです。 
 Would you like to give me a little more time? I want to think it over before I respond. 

 プロポーズの返事が一年以上ないんですが、どうしたらいいですか？ 
 There has been no response to my proposal for over a year, what should I do?","noun, verbal noun",返|事,"Return|Occurrence, Thing, Matter","へん, かえ|じ, こと, つか","You know 事 means ""occurrence,"" but it can also mean ""matter."" And if you return the matter to another person, you're giving a reply or response."
食事,"Meal, Diet, Dining",しょくじ,9,"一日に三回の食事では足りないんですよ。 
 Three meals a day is not enough. 

 今食事中なので、後でまた電話しますね。 
 I'm having a meal now, so I'll call again later. 

 もし人生で毎回同じ食事しか出来ないとしたら、何がいいですか？ 
 If you can only eat the same meal for the rest of your life, what would you like?","noun, verbal noun",食|事,"Eat, Meal|Occurrence, Thing, Matter","しょく, た, く|じ, こと, つか","A regular eating occurrence is also known as a meal. 

食事 can refer to a specific meal, like breakfast, lunch, or dinner. It can also mean your overall diet, like the kinds of foods you usually eat. 食事 can even be a verbal noun for the act of dining, so 食事する can be used to talk about having a meal."
"Meal, Diet, Dining",しょくじ,食事,9,"一日に三回の食事では足りないんですよ。 
 Three meals a day is not enough. 

 今食事中なので、後でまた電話しますね。 
 I'm having a meal now, so I'll call again later. 

 もし人生で毎回同じ食事しか出来ないとしたら、何がいいですか？ 
 If you can only eat the same meal for the rest of your life, what would you like?","noun, verbal noun",食|事,"Eat, Meal|Occurrence, Thing, Matter","しょく, た, く|じ, こと, つか","A regular eating occurrence is also known as a meal. 

食事 can refer to a specific meal, like breakfast, lunch, or dinner. It can also mean your overall diet, like the kinds of foods you usually eat. 食事 can even be a verbal noun for the act of dining, so 食事する can be used to talk about having a meal."
使う,"To Use, To Spend",つかう,9,"私たちは、毎日電気を使います。 
 We use electricity every day. 

 知っている活用形を全て使って文を作って下さい。 
 Use all of the conjugation forms you know to create a sentence. 

 今日は青森県のリンゴを使ってパイを作りたいと思います。 
 Today, I want to make a pie using apples from Aomori Prefecture.","transitive verb, godan verb",使,Use,"し, つか","This word consists of kanji with hiragana attached. Because the hiragana ends with an う sound, you know this word is a verb. The kanji itself means use so the verb version is to use. If you're talking about money, this can also mean to spend."
"To Use, To Spend",つかう,使う,9,"私たちは、毎日電気を使います。 
 We use electricity every day. 

 知っている活用形を全て使って文を作って下さい。 
 Use all of the conjugation forms you know to create a sentence. 

 今日は青森県のリンゴを使ってパイを作りたいと思います。 
 Today, I want to make a pie using apples from Aomori Prefecture.","transitive verb, godan verb",使,Use,"し, つか","This word consists of kanji with hiragana attached. Because the hiragana ends with an う sound, you know this word is a verb. The kanji itself means use so the verb version is to use. If you're talking about money, this can also mean to spend."
道具,Tool,どうぐ,9,"手紙を送るには、ペンや紙などの道具を使います。 
 To send a letter, you use tools like a pen or paper. 

 それは科学実験のための道具です。 
 It is a tool for scientific experiments. 

 明日の工事に必要な道具は全て有りますか？ 
 Do you have all the tools that you need for tomorrow's construction?",noun,道|具,"Road, Street, Path, Way|Tool","どう, みち|ぐ",The tools you use on the road of life are important to have. What is your most important tool?
Tool,どうぐ,道具,9,"手紙を送るには、ペンや紙などの道具を使います。 
 To send a letter, you use tools like a pen or paper. 

 それは科学実験のための道具です。 
 It is a tool for scientific experiments. 

 明日の工事に必要な道具は全て有りますか？ 
 Do you have all the tools that you need for tomorrow's construction?",noun,道|具,"Road, Street, Path, Way|Tool","どう, みち|ぐ",The tools you use on the road of life are important to have. What is your most important tool?
家具,Furniture,かぐ,9,"日本で安い家具を手に入れるには、「イケア」か「ニトリ」がおすすめです。 
 To get cheap furniture in Japan, I recommend IKEA or Nitori. 

 入り口が小さいので、大きい家具が入るか分かりません。 
 The entrance is small, so I'm not sure if large furniture can fit. 

 この家具屋さんにはベッド、ソファ、テーブルなど、色々なの家具があります。 
 This furniture shop has a variety of furniture, such as beds, sofas, tables, and more. 

 これは、あなたが家具を買うためのお金です。ホストクラブに行くためのお金ではありません。 
 This is money for you to buy furniture. It's not money for going to a host club.",noun,家|具,"House, Home|Tool","いえ, や, うち, か, け|ぐ","Your house tools aren't the tools you use to build a house. They're more like the things that are a part of your house that you use like tools. Those things would be your furniture. So, remember, your house tools are just furniture."
Furniture,かぐ,家具,9,"日本で安い家具を手に入れるには、「イケア」か「ニトリ」がおすすめです。 
 To get cheap furniture in Japan, I recommend IKEA or Nitori. 

 入り口が小さいので、大きい家具が入るか分かりません。 
 The entrance is small, so I'm not sure if large furniture can fit. 

 この家具屋さんにはベッド、ソファ、テーブルなど、色々なの家具があります。 
 This furniture shop has a variety of furniture, such as beds, sofas, tables, and more. 

 これは、あなたが家具を買うためのお金です。ホストクラブに行くためのお金ではありません。 
 This is money for you to buy furniture. It's not money for going to a host club.",noun,家|具,"House, Home|Tool","いえ, や, うち, か, け|ぐ","Your house tools aren't the tools you use to build a house. They're more like the things that are a part of your house that you use like tools. Those things would be your furniture. So, remember, your house tools are just furniture."
受ける,"To Receive Something, To Accept Something, To Take Something",うける,9,"明日、先生から電話を受ける。 
 I will receive a phone call from my teacher tomorrow. 

 今回はJLPTの試験を冬に受ける事にしました。 
 This time, I decided to take the JLPT exam in winter. 

 他人から言われた事を、毎回まともに受けなくてもいいんだよ。 
 You don't have to take what others say seriously every time.","transitive verb, ichidan verb",受,"Accept, Receive","じゅ, う","This word consists of kanji with hiragana attached. Because the hiragana ends with an う sound, you know this word is a verb. The kanji itself means receive, and this verb means just about the same thing: to receive something!

This is a transitive verb, so it takes a direct object. But 受ける often implies passive reception, generally of intangible objects like an education, or damage. It can also mean to take something, like taking an exam or a job offer."
"To Receive Something, To Accept Something, To Take Something",うける,受ける,9,"明日、先生から電話を受ける。 
 I will receive a phone call from my teacher tomorrow. 

 今回はJLPTの試験を冬に受ける事にしました。 
 This time, I decided to take the JLPT exam in winter. 

 他人から言われた事を、毎回まともに受けなくてもいいんだよ。 
 You don't have to take what others say seriously every time.","transitive verb, ichidan verb",受,"Accept, Receive","じゅ, う","This word consists of kanji with hiragana attached. Because the hiragana ends with an う sound, you know this word is a verb. The kanji itself means receive, and this verb means just about the same thing: to receive something!

This is a transitive verb, so it takes a direct object. But 受ける often implies passive reception, generally of intangible objects like an education, or damage. It can also mean to take something, like taking an exam or a job offer."
和風,Japanese Style,わふう,9,"私、和風スイーツがすきなんです。 
 I like Japanese sweets. 

 和風ごまドレッシングが切れちゃったんだけど、買ってきてくれる？ 
 We are out of the Japanese-style sesame dressing, can you go buy it? 

 和風の客室がいいんですが、空室はありますか？ 
 I’d like a Japanese-style room. Is there a vacancy?",noun,和|風,"Peace, Japanese Style|Wind, Style","わ, お, なご, やわ, かず, より|ふう, ふ, かぜ","The Japanese style style. The Japanese often like to think they're very unique and have a very special kind of style (and often times they do). So, you'll hear this word used when someone wants to describe this unique sense of style. Wafuuuu! 

Note that this word uses alternative kanji meanings in both of the kanji. They're in the kanji explanation, but they're not the primaries, so it may take a little extra effort to learn this word depending on what you studied!"
Japanese Style,わふう,和風,9,"私、和風スイーツがすきなんです。 
 I like Japanese sweets. 

 和風ごまドレッシングが切れちゃったんだけど、買ってきてくれる？ 
 We are out of the Japanese-style sesame dressing, can you go buy it? 

 和風の客室がいいんですが、空室はありますか？ 
 I’d like a Japanese-style room. Is there a vacancy?",noun,和|風,"Peace, Japanese Style|Wind, Style","わ, お, なご, やわ, かず, より|ふう, ふ, かぜ","The Japanese style style. The Japanese often like to think they're very unique and have a very special kind of style (and often times they do). So, you'll hear this word used when someone wants to describe this unique sense of style. Wafuuuu! 

Note that this word uses alternative kanji meanings in both of the kanji. They're in the kanji explanation, but they're not the primaries, so it may take a little extra effort to learn this word depending on what you studied!"
平和,"Peace, Harmony",へいわ,9,"住人にとって平和な町にしたいです。 
 I want to make it a peaceful town for the residents. 

 「日本は平和すぎる」と言う人も、多いですよ。 
 Many people say that Japan is too peaceful. 

 一日でも早く世界が平和になりますように。 
 May the world be peaceful as soon as possible.","noun, な adjective",平|和,"Flat, Peace|Peace, Japanese Style","へい, ひょう, びょう, たい, ひら|わ, お, なご, やわ, かず, より","The flat peace. This is a peace that will last, because there's no waves... no ripples... just flat. This is plain old peace."
"Peace, Harmony",へいわ,平和,9,"住人にとって平和な町にしたいです。 
 I want to make it a peaceful town for the residents. 

 「日本は平和すぎる」と言う人も、多いですよ。 
 Many people say that Japan is too peaceful. 

 一日でも早く世界が平和になりますように。 
 May the world be peaceful as soon as possible.","noun, な adjective",平|和,"Flat, Peace|Peace, Japanese Style","へい, ひょう, びょう, たい, ひら|わ, お, なご, やわ, かず, より","The flat peace. This is a peace that will last, because there's no waves... no ripples... just flat. This is plain old peace."
和食,"Japanese Style Food, Japanese Food",わしょく,9,"朝ごはんは、和食がいいです。 
 I like having Japanese-style food for breakfast. 

 日本人の主人は毎日和食を作ってくれます。 
 My Japanese husband cooks Japanese food every day. 

 和食レストランで、和牛のステーキを食べました。 
 I ate wagyu steak at a Japanese restaurant.",noun,和|食,"Peace, Japanese Style|Eat, Meal","わ, お, なご, やわ, かず, より|しょく, た, く","Japanese style eat ... well, let's change ""eat"" to ""food"" and you have Japanese style food. This is a good way to differentiate between an American style restaurant and a Japanese style restaurant. What kind of food you feeling like tonight? Oh, how about some 和食?"
"Japanese Style Food, Japanese Food",わしょく,和食,9,"朝ごはんは、和食がいいです。 
 I like having Japanese-style food for breakfast. 

 日本人の主人は毎日和食を作ってくれます。 
 My Japanese husband cooks Japanese food every day. 

 和食レストランで、和牛のステーキを食べました。 
 I ate wagyu steak at a Japanese restaurant.",noun,和|食,"Peace, Japanese Style|Eat, Meal","わ, お, なご, やわ, かず, より|しょく, た, く","Japanese style eat ... well, let's change ""eat"" to ""food"" and you have Japanese style food. This is a good way to differentiate between an American style restaurant and a Japanese style restaurant. What kind of food you feeling like tonight? Oh, how about some 和食?"
和室,Japanese Style Room,わしつ,9,"この和室にアンティークのソファを買いたいと思っています。 
 I want to buy an antique sofa for this Japanese-style room. 

 姉の家には、お茶を飲むための和室があります。 
 My sister's house has a Japanese-style room for drinking tea in it. 

 タタミがある部屋のことを和室と言います。 
 A room with a tatami floor is called a Japanese-style room.",noun,和|室,"Peace, Japanese Style|Room","わ, お, なご, やわ, かず, より|しつ","A Japanese style room tends to be pretty small. This mainly refers to the kind of room that's covered in tatami mats, though. If you're looking for places to stay in Japan, a 和室 will be something like that. You'll pull the futon out of the closet and sleep on the floor. So comfy, these Japanese style rooms!"
Japanese Style Room,わしつ,和室,9,"この和室にアンティークのソファを買いたいと思っています。 
 I want to buy an antique sofa for this Japanese-style room. 

 姉の家には、お茶を飲むための和室があります。 
 My sister's house has a Japanese-style room for drinking tea in it. 

 タタミがある部屋のことを和室と言います。 
 A room with a tatami floor is called a Japanese-style room.",noun,和|室,"Peace, Japanese Style|Room","わ, お, なご, やわ, かず, より|しつ","A Japanese style room tends to be pretty small. This mainly refers to the kind of room that's covered in tatami mats, though. If you're looking for places to stay in Japan, a 和室 will be something like that. You'll pull the futon out of the closet and sleep on the floor. So comfy, these Japanese style rooms!"
和服,"Japanese Style Clothes, Japanese Clothing, Japanese Style Clothing, Japanese Clothes",わふく,9,"キモノなどの和服は、日本の文化の一部です。 
 Japanese style clothes like kimono are a part of Japanese culture. 

 うちのおばあちゃんは和服を作るのが上手です。 
 My grandmother is good at making Japanese style clothing. 

 和服でマラソンをする日本人を見たことがありますか？ 
 Have you seen Japanese people running marathons in Japanese style clothes?",noun,和|服,"Peace, Japanese Style|Clothes, Clothing","わ, お, なご, やわ, かず, より|ふく","Japanese style clothes (Japanese Style Clothes). We're talking kimonos and yukata and things like that. Basically, this differentiates Japanese clothing from Western clothing. 

What kind of clothes will you wear to the festival tonight? Oh, probably some 和服."
